Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_1206_3216Metric,-139.9852,-101.727,0,bottom
C2,0.1uF,C_1206_3216Metric,-157.8632,-101.727,0,bottom
C3,4.7uF,C_1206_3216Metric,-140.5912,-88.138,180,bottom
C4,0.1uF,C_1206_3216Metric,-145.4172,-88.138,0,bottom
C5,0.1uF,C_1206_3216Metric,-129.872,-88.138,0,bottom
C6,10uF,C_1206_3216Metric,-150.2722,-88.138,0,bottom
C7,4.7uF,C_1206_3216Metric,-136.398,-93.5482,180,bottom
C8,0.1uF,C_1206_3216Metric,-136.398,-96.0882,180,bottom
C9,0.1uF,C_1206_3216Metric,-135.636,-88.138,180,bottom
C10,4.7uF,C_1206_3216Metric,-160.45,-88.138,180,bottom
D2,SP0503BAHT,SOT-143,-121.654,-94.4212,-90,bottom
IC1,CP2102N-A02-GQFN24,QFN50P400X400X80-25N,-143.0822,-94.996,0,bottom
R1,1K,R_1206_3216Metric,-148.8587,-93.726,180,bottom
R2,10K,R_1206_3216Metric,-135.1427,-101.727,180,bottom
R3,1K,R_1206_3216Metric,-130.3207,-101.727,180,bottom
R4,22K,R_1206_3216Metric,-153.6847,-96.266,180,bottom
R5,47K,R_1206_3216Metric,-148.8547,-96.266,180,bottom
R6,5.1K,R_1206_3216Metric,-129.7579,-96.1136,0,bottom
R7,5.1K,R_1206_3216Metric,-129.7579,-93.6244,0,bottom
R8,620,R_1206_3216Metric,-145.3027,-101.727,180,bottom
R9,620,R_1206_3216Metric,-150.1247,-101.727,0,bottom
